Time,Date,kwh
6pm ,23-Jun-2014,2.041   
6am ,16-Jun-2014,2.225  
9am , 7-Apr-2014,0.082  
4am ,13-May-2014,0.186
10pm ,27-Nov-2014,0.207 
9am ,21-Jun-2014,1.49  
2am , 4-Mar-2014,0.15 
2pm ,12-Jan-2014,1.824   
7am ,19-Mar-2014,0.799kwh
8am ,14-Jun-2014,2.574 
3pm ,14-Dec-2014,0.842   
12pm ,12-Mar-2014,0.348   
7am ,24-Feb-2014,0.95kwh  
6pm ,21-Sep-2014,1.21 
8pm ,8-Jan-2014,2.56kwh 
5am , 9-Nov-2014,0.149kwh 
8am , 1-Aug-2014,0.418 
4pm ,16-Apr-2014,0.121 
7pm ,01-Sep-2014,1.197
3am ,04-Nov-2014,0.084
6pm ,10-Nov-2014,0.687
12am ,31-Dec-2014,0.36  
3am ,22-Mar-2014,0.24 
9am ,19-Jun-2014,0.437   
1am ,26-Mar-2014,0.149kwh
4am , 3-Feb-2014,0.283  
1pm ,11-Sep-2014,0.23  
9am ,26-Jun-2014,0.637kwh 
6pm , 7-Aug-2014,1.478 
12pm , 4-Oct-2014,0.432kwh  
6am ,20-Jun-2014,2.441  
7am ,17-Aug-2014,1.44  
11pm , 8-Jul-2014,1.188   
9am ,21-Feb-2014,0.40  
8am , 6-Oct-2014,0.262
12pm ,22-Apr-2014,0.147
2am , 4-Feb-2014,0.264 
8pm , 8-Sep-2014,0.986   
2pm , 6-Dec-2014,0.862kwh  
8am ,24-Mar-2014,0.349 
12am ,12-Jun-2014,0.432kwh 
9pm ,23-Nov-2014,0.311
11am ,27-Apr-2014,0.169   
8am ,08-Jan-2014,0.912  
8pm ,18-Apr-2014,0.576 
7am ,17-Sep-2014,0.542kwh 
8pm ,31-Aug-2014,2.095 
1am ,24-Dec-2014,0.255 
6pm ,25-May-2014,1.267kwh
1pm ,13-Jun-2014,0.583
9pm ,18-Nov-2014,0.308 
3pm ,10-Nov-2014,0.176  
10pm ,23-Jan-2014,1.07kwh 
2pm ,13-Jul-2014,1.92kwh
11am , 9-Jul-2014,1.14 
10am , 3-Aug-2014,0.677kwh
4pm , 5-Aug-2014,0.557kwh
2am ,28-Feb-2014,0.211  
1pm ,24-Mar-2014,0.288kwh
12am ,27-Apr-2014,0.283   
1am ,3-Jul-2014,0.494  
2am ,08-Jan-2014,0.444 
5am ,24-Jan-2014,2.178  
11am ,3-May-2014,0.403
9am ,19-Jul-2014,2.506 
5am ,25-Dec-2014,1.379kwh
10am , 5-Dec-2014,0.493
2pm ,22-Jan-2014,0.712 
2pm ,09-Jul-2014,1.152  
10am ,20-Aug-2014,0.466 
9am , 6-Sep-2014,0.743 
5pm , 2-May-2014,0.874 
9am , 1-Nov-2014,0.369 
10am , 1-Jun-2014,1.037   
11pm ,17-Mar-2014,0.388  
2am ,10-Nov-2014,0.098 
8am , 9-Jul-2014,0.95kwh
11pm ,24-Aug-2014,0.546kwh
9am ,30-Jul-2014,0.778  
6pm ,20-Jun-2014,2.948kwh 
7pm ,11-Nov-2014,0.705kwh  
4am ,28-Jun-2014,0.486
11am ,28-Apr-2014,0.147kwh 
9am , 7-Jan-2014,0.552kwh  
2pm ,24-Feb-2014,0.466kwh 
11am ,23-Feb-2014,0.634  
2am ,19-Mar-2014,0.176  
11am , 6-Jan-2014,1.11 
3am ,29-Dec-2014,0.196 
8am ,15-Dec-2014,0.449  
4pm ,26-Nov-2014,0.148   
11am ,09-Jun-2014,0.792kwh  
7pm ,13-May-2014,1.44
3pm ,10-Aug-2014,1.156   
7pm ,13-Sep-2014,1.071   
7pm ,06-Sep-2014,1.184kwh  
7pm , 5-Dec-2014,2.178kwh
9am ,06-May-2014,0.238kwh
12am ,20-Jul-2014,1.901kwh  
10pm , 2-Nov-2014,0.212kwh
8pm ,14-Mar-2014,1.408kwh
8am ,23-Apr-2014,0.112kwh  
4am ,24-Apr-2014,0.071 
7am ,03-Jan-2014,1.80   
2am ,03-Jun-2014,0.36kwh
7am ,22-Oct-2014,0.47kwh 
11pm ,13-Feb-2014,0.618kwh  
1am ,28-Apr-2014,0.058kwh 
3pm ,15-Jul-2014,1.066  
8pm ,18-May-2014,1.44
8pm ,27-Jun-2014,2.851
9pm ,09-Mar-2014,0.528 
8pm ,28-Nov-2014,0.864 
10pm ,11-May-2014,0.452kwh  
9pm , 1-Oct-2014,0.425 
1pm ,27-Feb-2014,0.437  
5pm ,20-May-2014,0.905 
6pm , 2-Jul-2014,3.797  
12pm ,23-Nov-2014,0.284
12pm , 5-Oct-2014,0.346 
7am ,10-Jul-2014,2.052  
8pm , 9-Jul-2014,4.531  
8am , 6-May-2014,0.339  
12am ,08-Oct-2014,0.189 
12am ,17-Feb-2014,0.367
2pm , 4-Oct-2014,0.47kwh
11am ,28-Feb-2014,0.63kwh
6pm , 3-May-2014,1.224 
2am ,18-Jul-2014,0.499 
2pm ,02-Dec-2014,0.387 
7am ,5-Aug-2014,0.907kwh
8pm ,13-Mar-2014,1.216kwh 
5am , 5-Feb-2014,1.201 
10pm ,11-Sep-2014,0.399kwh
5am ,15-Jul-2014,2.534  
11am ,25-Feb-2014,0.54kwh  
7pm ,23-Sep-2014,1.424 
1pm ,28-May-2014,0.358kwh 
5pm ,14-Sep-2014,0.674
3pm , 9-Mar-2014,0.605  
6am ,7-Feb-2014,1.181
11am ,28-Jan-2014,0.98  
4pm ,16-Sep-2014,0.26   
10am ,23-Feb-2014,0.662  
2am ,21-Oct-2014,0.107   
10pm ,3-Feb-2014,0.612 
4pm ,19-May-2014,0.314 
9pm ,24-May-2014,0.301kwh 
8am ,18-Mar-2014,0.362
10am ,24-Feb-2014,0.523
12pm ,12-May-2014,0.376kwh
1am ,25-Jul-2014,0.509kwh  
6am ,10-Jul-2014,3.11 
4am ,25-Dec-2014,0.178kwh  
5am ,27-Oct-2014,0.594kwh
5am ,02-Apr-2014,0.363kwh
2pm , 5-Jul-2014,2.15  
4am , 7-Mar-2014,0.162  
5am ,16-Sep-2014,0.816 
7am , 8-Nov-2014,0.432  
6am ,29-Apr-2014,0.364 
1pm , 1-May-2014,0.285 
12am ,21-Oct-2014,0.176 
3pm ,13-Feb-2014,0.456   
6am , 8-Nov-2014,0.288
10am ,16-Oct-2014,0.274 
7pm ,12-Jan-2014,4.248  
11pm ,14-Mar-2014,0.96
5am , 2-Oct-2014,0.62
2pm ,09-Feb-2014,0.826kwh
2pm ,21-May-2014,0.291  
4am ,15-Oct-2014,0.142 
9pm ,18-Jul-2014,0.893kwh  
12am ,30-Apr-2014,0.092  
9am ,19-Mar-2014,0.228  
5pm ,8-Jun-2014,1.879  
9am ,5-Jun-2014,0.454  
8am ,26-Oct-2014,0.85  
5am , 9-Apr-2014,0.284  
11pm , 9-Aug-2014,1.356  
6pm ,25-Nov-2014,0.725  
12am ,28-Feb-2014,0.374kwh 
11pm ,09-Nov-2014,0.218kwh
3pm ,25-Jan-2014,2.16  
7pm ,27-Jul-2014,4.277kwh 
11pm ,23-Jul-2014,1.404kwh  
6am ,11-Sep-2014,0.874kwh  
2pm , 2-Apr-2014,0.096kwh  
4am , 6-May-2014,0.147  
10am ,24-Aug-2014,0.619 
10am ,15-May-2014,0.307   
9pm ,21-Sep-2014,0.433kwh  
1pm ,28-Jan-2014,0.72kwh 
9am ,20-Jan-2014,0.636kwh
2am ,30-May-2014,0.174   
10am ,10-Nov-2014,0.193   
10am ,26-Oct-2014,0.295kwh 
3am , 4-Jul-2014,0.451  
8pm ,21-Sep-2014,1.084kwh
5pm ,20-Jun-2014,2.036  
8pm ,11-Feb-2014,1.882 
11am ,14-Sep-2014,0.353kwh 
11am ,23-Sep-2014,0.357 
3am ,10-Oct-2014,0.139  
1pm ,07-Jan-2014,0.672  
8pm ,16-Nov-2014,0.867  
1pm ,20-Jul-2014,1.57   
5pm ,09-May-2014,0.998 
5am ,25-May-2014,0.288 
2am ,12-Jan-2014,0.582  
9pm ,09-Jun-2014,1.102
1pm ,26-Sep-2014,0.235kwh  
8am ,05-Dec-2014,0.427 
9pm ,19-Mar-2014,0.49kwh 
2am , 6-Mar-2014,0.19   
7pm ,24-Feb-2014,2.484 
5pm ,07-Aug-2014,1.326 
4am ,4-Jul-2014,0.446kwh 
8am ,16-Dec-2014,0.392  
8am ,28-Jun-2014,2.457  
1am ,1-Dec-2014,0.198kwh  
2am ,17-Feb-2014,0.242 
7pm ,28-Apr-2014,0.648kwh  
12am ,14-Jul-2014,0.749  
1pm ,26-Oct-2014,0.32kwh  
7pm ,25-Sep-2014,1.109 
6pm ,28-Apr-2014,0.479 
8am ,17-Apr-2014,0.138  
7am ,12-Feb-2014,1.253
10am , 3-Apr-2014,0.103
4am ,17-Jun-2014,0.432 
5pm ,19-Apr-2014,0.284 
11am ,11-Apr-2014,0.173kwh  
3am ,21-Nov-2014,0.086   
2pm , 2-Jul-2014,0.874
8pm ,22-Dec-2014,1.813  
9am , 5-Aug-2014,0.364  
11pm ,27-Apr-2014,0.141kwh
4am ,25-Jul-2014,0.557   
6pm ,13-Jul-2014,4.838
3am ,20-May-2014,0.176  
3pm ,23-May-2014,0.278 
4pm ,05-Jul-2014,2.03  
10am ,28-Dec-2014,0.614  
1am ,30-Oct-2014,0.122kwh  
3am ,14-Aug-2014,0.286kwh  
6am ,08-Feb-2014,1.046kwh  
7am ,21-Dec-2014,1.214 
1am ,12-Jan-2014,0.558 
12pm ,14-Sep-2014,0.336kwh  
6pm , 2-Apr-2014,0.349kwh 
11am ,11-May-2014,0.47 
6pm ,20-Apr-2014,0.535kwh
5am ,27-Nov-2014,0.411kwh  
8am , 6-Jun-2014,0.648  
5pm ,16-May-2014,1.134  
3pm ,03-Sep-2014,0.277kwh  
10am ,30-Jun-2014,0.72
3pm ,20-Apr-2014,0.248 
6pm ,26-Jul-2014,4.277
1pm ,16-Jun-2014,0.835
4am ,23-Aug-2014,0.403
3am ,11-Nov-2014,0.09  
6am ,11-Oct-2014,0.48  
8am ,5-Jul-2014,3.401
4am ,26-Jan-2014,0.666   
5am ,01-Dec-2014,1.428
8pm ,25-May-2014,1.166 
11am , 6-May-2014,0.34kwh  
6am ,06-Jan-2014,2.472  
7pm ,18-Sep-2014,1.159  
12pm , 9-Apr-2014,0.17kwh 
4pm ,22-Jun-2014,1.539  
7pm ,11-Dec-2014,2.059   
3pm ,17-Jun-2014,0.77kwh
12pm ,14-Mar-2014,0.34kwh
4am ,14-Sep-2014,0.239
9pm ,03-Dec-2014,0.785 
9pm ,27-Nov-2014,0.292  
4pm ,17-Feb-2014,0.394  
1pm ,24-Apr-2014,0.096 
4pm ,29-May-2014,0.301 
8am ,05-Aug-2014,0.48 
1am ,04-Sep-2014,0.147
6am ,19-Sep-2014,0.924 
1pm ,6-Jan-2014,0.936kwh 
5am ,15-Nov-2014,0.15   
8am , 8-Jun-2014,2.668kwh  
7pm ,19-Feb-2014,2.203 
6pm ,13-May-2014,0.974kwh
10pm ,18-Nov-2014,0.239 
1am ,23-Aug-2014,0.342 
7pm , 6-Jul-2014,4.45  
9am , 9-Jan-2014,0.708kwh
5pm ,3-Feb-2014,1.42   
9am ,11-Jan-2014,1.53 
10am , 3-Oct-2014,0.245  
3pm ,19-Oct-2014,0.459  
3pm ,18-Jun-2014,0.792   
6am , 2-Jul-2014,3.053  
11am , 7-Jul-2014,1.392kwh
5pm ,28-Jul-2014,3.151kwh  
5am , 4-Mar-2014,0.818  
8pm ,24-Oct-2014,0.979 
6pm ,28-Nov-2014,0.599 
4pm ,24-Jun-2014,0.59  
1pm , 6-Feb-2014,0.518  
5am , 8-May-2014,0.739   
8am ,25-Dec-2014,0.484  
8am ,12-Sep-2014,0.302kwh
1pm ,17-Apr-2014,0.13kwh  
10pm ,5-Feb-2014,0.51kwh 
1pm ,28-Apr-2014,0.112   
2am , 3-Feb-2014,0.252   
12am ,20-Jun-2014,0.432kwh  
2am ,25-Mar-2014,0.152kwh  
12pm ,28-Mar-2014,0.388 
12am ,25-Jun-2014,0.599 
3am ,20-Aug-2014,0.202
3pm , 8-Jun-2014,1.766   
9am , 7-Mar-2014,0.286 
11pm , 7-Jul-2014,1.032  
12pm ,18-Jun-2014,1.071kwh  
10pm ,10-Aug-2014,0.552  
8am , 5-Nov-2014,0.20kwh 
3am ,06-Dec-2014,0.383  
10pm ,06-Nov-2014,0.236
10pm ,07-Aug-2014,0.642 
12am ,31-Jan-2014,0.708kwh
4am ,29-Jul-2014,0.542 
4am , 7-Nov-2014,0.077kwh
8pm ,09-May-2014,1.395kwh 
11pm ,07-Jan-2014,0.84 
2pm ,13-Oct-2014,0.257   
7pm ,03-Aug-2014,1.879 
4am ,02-Jun-2014,0.389 
2pm ,03-Dec-2014,0.352
1am ,09-Jun-2014,0.407kwh 
7pm ,15-Nov-2014,0.948kwh  
11am ,11-Dec-2014,0.644 
6pm ,26-Mar-2014,0.952   
2pm ,30-Mar-2014,0.73 
10am ,14-Jun-2014,1.274  
3pm ,27-Dec-2014,1.148   
10am ,19-May-2014,0.381kwh 
12pm ,27-Jul-2014,1.627 
4pm ,26-Jul-2014,2.57  
8am ,31-Jul-2014,0.893kwh 
5am , 3-Jun-2014,1.663kwh 
8pm , 8-Oct-2014,1.094
5am ,09-Dec-2014,1.077   
5am ,10-May-2014,0.281  
6am , 8-Dec-2014,1.32  
11pm ,20-Feb-2014,0.72 
5pm ,6-Jul-2014,1.944 
7pm ,19-Nov-2014,0.907kwh 
1am ,13-Oct-2014,0.101  
8pm ,21-Jul-2014,3.955  
9pm ,25-Dec-2014,0.713kwh  
12pm ,15-Sep-2014,0.336
6am ,14-Jun-2014,1.555  
10pm ,03-Jun-2014,0.954kwh
10pm ,22-Apr-2014,0.137kwh 
10pm ,19-Oct-2014,0.291  
2pm ,23-Jul-2014,0.941
2am ,15-Apr-2014,0.057 
4am , 8-Aug-2014,0.252kwh
8am ,16-Jul-2014,1.094 
9pm ,3-May-2014,0.323kwh
9pm ,09-May-2014,0.333kwh
8am , 7-Dec-2014,1.373  
1am ,06-Aug-2014,0.25 
9am ,16-May-2014,0.25kwh 
5am ,21-Feb-2014,1.399kwh  
4pm ,30-Jun-2014,0.634 
2am ,3-Apr-2014,0.059kwh
8am ,28-Oct-2014,0.262kwh
10pm ,21-Aug-2014,0.51  
9am ,28-Mar-2014,0.286  
4am ,11-Dec-2014,0.213   
4am ,29-Oct-2014,0.124kwh
9pm ,13-Jul-2014,1.152  
1pm ,1-Apr-2014,0.115   
6pm ,13-Nov-2014,0.68   
12pm ,14-Jul-2014,1.32
12pm ,18-Apr-2014,0.159 
1pm ,14-Apr-2014,0.096 
2pm ,27-Aug-2014,0.427kwh  
7pm , 3-Apr-2014,0.481
3pm , 7-Aug-2014,0.533   
5am ,13-Apr-2014,0.074 
10pm ,22-Feb-2014,0.494kwh  
12pm , 1-Oct-2014,0.255kwh 
2pm ,04-Feb-2014,0.384kwh  
9am , 2-Oct-2014,0.182  
3am , 8-Jun-2014,0.632  
2pm ,31-Oct-2014,0.257  
4am ,15-Nov-2014,0.146 
10am ,24-Jan-2014,0.704   
12pm , 6-Jun-2014,0.828kwh 
8pm ,21-Jan-2014,3.232  
9am , 5-Dec-2014,0.373  
5pm , 8-Aug-2014,1.607
10pm ,22-Jan-2014,0.80 
5am ,15-Mar-2014,0.228 
2pm ,20-Sep-2014,0.599 
10am ,31-Mar-2014,0.365 
8am ,28-Sep-2014,1.037kwh
1pm ,13-Apr-2014,0.151kwh 
9pm , 8-Jan-2014,1.428
1pm , 7-Sep-2014,0.34  
5am , 7-Apr-2014,0.264  
4pm ,14-Mar-2014,0.269kwh  
7pm ,27-Aug-2014,2.57   
10am ,17-Oct-2014,0.252 
3pm ,01-Nov-2014,0.381kwh
3pm , 5-Oct-2014,0.481  
11am ,30-Jan-2014,0.93 
8pm ,30-Mar-2014,1.67
4am ,9-Sep-2014,0.123 
11pm ,28-May-2014,0.404  
7pm ,07-Dec-2014,2.039kwh
10pm ,15-Aug-2014,0.983 
4pm ,19-Nov-2014,0.146  
3pm , 6-Nov-2014,0.189 
1am ,13-Jun-2014,0.346  
9am ,21-Apr-2014,0.107  
7am ,15-Jul-2014,2.592 
4am , 3-Nov-2014,0.078
2pm ,26-Nov-2014,0.20   
6pm ,14-Apr-2014,0.403kwh  
5am ,15-Jun-2014,0.583kwh
3am ,30-Nov-2014,0.123 
4pm ,15-Feb-2014,0.886  
6am ,11-Apr-2014,0.346  
7am ,06-Aug-2014,0.918
7am ,06-Jul-2014,3.168kwh 
12am , 7-Aug-2014,0.364kwh
4pm ,30-Mar-2014,0.59kwh
8pm ,10-Jun-2014,2.88 
3am ,13-Dec-2014,0.327  
7pm , 6-Mar-2014,1.382kwh  
2pm , 2-Mar-2014,0.576 
12am ,17-May-2014,0.614kwh 
4pm ,25-Nov-2014,0.212   
4am ,1-Nov-2014,0.116
12pm ,13-Dec-2014,0.554kwh  
4am ,09-Nov-2014,0.132  
2am ,13-Feb-2014,0.254 
3am ,28-Apr-2014,0.049 
6am ,10-Jan-2014,2.472  
6pm ,28-Jun-2014,3.596
8am , 6-Nov-2014,0.185 
1pm ,14-Feb-2014,0.48  
7pm ,03-Mar-2014,1.238 
5am ,07-Feb-2014,1.056kwh 
2am ,03-Mar-2014,0.134kwh 
11pm ,16-Jan-2014,1.09kwh
7am ,05-Dec-2014,1.079 
6pm , 6-Feb-2014,1.378kwh
5am ,21-Mar-2014,0.801 
5pm ,03-May-2014,0.648   
7pm ,19-Oct-2014,1.242  
11am ,7-Aug-2014,0.57kwh  
8am ,20-Dec-2014,1.244kwh 
10am , 1-Jul-2014,0.778 
7pm ,10-May-2014,1.714  
3am ,01-Mar-2014,0.23  
12am , 1-Jul-2014,0.857   
1pm ,12-Dec-2014,0.378 
1pm ,09-Jan-2014,0.792 
9am ,6-Jan-2014,0.504 
6am ,30-Sep-2014,0.966kwh  
4pm ,15-May-2014,0.262kwh 
2am ,20-May-2014,0.144 
4am ,10-May-2014,0.259  
1am ,05-Jul-2014,0.857kwh  
10am ,15-Dec-2014,0.48 
9pm ,19-Apr-2014,0.124kwh 
2pm ,17-Mar-2014,0.339kwh 
4am ,18-Apr-2014,0.048 
3am ,01-Jun-2014,0.583
10am , 9-May-2014,0.358   
1am ,09-May-2014,0.17kwh 
3am ,21-Sep-2014,0.208
7am ,12-Jun-2014,1.539   
5am , 6-May-2014,1.003kwh  
6am ,19-May-2014,0.806 
2am , 5-Mar-2014,0.189kwh
6am ,19-Mar-2014,0.768 
12am ,18-Apr-2014,0.078   
7am ,21-Mar-2014,0.85   
9am ,15-Jan-2014,0.534kwh
6am ,04-Oct-2014,0.432  
12pm ,19-Nov-2014,0.23
2am ,15-Jul-2014,0.456  
7pm ,19-Apr-2014,0.481kwh
2am ,12-Sep-2014,0.153   
11pm ,22-Jun-2014,0.801  
8pm ,25-Jan-2014,2.88kwh
7am ,14-Feb-2014,1.134   
1am ,10-Jan-2014,0.424 
2pm ,16-Nov-2014,0.378kwh
11pm ,24-Jul-2014,0.96kwh  
1am , 3-Dec-2014,0.185
8pm ,31-May-2014,1.44  
9pm ,14-Nov-2014,0.148 
8am ,26-Sep-2014,0.277 
5pm ,16-Jan-2014,2.73kwh
7am , 5-Jul-2014,3.37 
5pm ,23-Apr-2014,0.406 
4pm ,29-Apr-2014,0.106  
9pm ,27-May-2014,0.485kwh 
9pm ,17-Oct-2014,0.271   
12am ,30-Jan-2014,0.696kwh  
10am ,24-Mar-2014,0.294kwh  
